Symbol,Name,Predicted Alpha (1Y),predicted 1 month alpha,one month total return,excess versus bench,predicted 1 month alpha,bench,avg excess,avg prediction,corr
M:PEIEX,P/E Global Enhanced International Fund Inst,5.959786,0.004966488,0.04977,0.014917,0.004966488,0.034853,0.016084595,-7.26883E-05,-0.059869801
M:QMGAX,Invesco Advantage International Fund A,3.2997577,0.002749798,0.049571,0.014718,0.002749798,,,,
M:DILYX,Davis International Fund Y,3.1720555,0.00264338,0.027451,-0.007402,0.00264338,,,,
M:PISIX,PIMCO StocksPLUS International Fd (DH) Inst,2.1738944,0.001811579,0.057416,0.022563,0.001811579,,,,
M:PEQUX,Putnam Focused International Equity Fund A,1.8791525,0.00156596,0.039781,0.004928,0.00156596,,,,
M:APHKX,Artisan International Value Fund Institutional,1.4489304,0.001207442,0.048926,0.014073,0.001207442,,,,
M:COSOX,Columbia Overseas Core Fund Institutional 3,1.3381096,0.001115091,0.053374,0.018521,0.001115091,,,,
M:MINJX,MFS International Intrinsic Value Fund R6,1.3250577,0.001104215,0.065011,0.030158,0.001104215,,,,
M:JOPSX,JOHCM International Opportunities Fund Inst,1.3058416,0.001088201,0.042517,0.007664,0.001088201,,,,
M:SLSDX,Selected International Fund D,1.1527838,0.000960653,0.029686,-0.005167,0.000960653,,,,
M:SGOIX,First Eagle Overseas Fund I,1.0121778,0.000843482,0.053535,0.018682,0.000843482,,,,
M:SIEPX,Saratoga International Equity Portfolio I,1.0009894,0.000834158,0.044248,0.009395,0.000834158,,,,
M:FAIEX,First American Multi-Manager Intl Eqty Fd Inst,0.99136645,0.000826139,0.053486,0.018633,0.000826139,,,,
M:PIIDX,Principal International Equity Fund R-6,0.9728077,0.000810673,0.058917,0.024064,0.000810673,,,,
M:TWAIX,Thrivent International Allocation Fund S,0.95314354,0.000794286,0.047343,0.01249,0.000794286,,,,
M:HLIDX,Harding Loevner Intl Dvlp Mkts Eq Ptf Inst,0.9321002,0.00077675,0.044118,0.009265,0.00077675,,,,
M:LP40216454,John Hancock International Strat Eqty Alloc NAV,0.92236584,0.000768638,0.044467,0.009614,0.000768638,,,,
M:GIDUX,Goldman Sachs International Eqty Div & Prem Fd R6,0.90889317,0.000757411,0.039706,0.004853,0.000757411,,,,
M:LZIEX,Lazard International Equity Portfolio Inst,0.90335834,0.000752799,0.062817,0.027964,0.000752799,,,,
M:OIIEX,Optimum International Fund Institutional,0.8961694,0.000746808,0.050394,0.015541,0.000746808,,,,
M:WCMVX,WCM Focused International Equity Fund Inst,0.8951222,0.000745935,0.052596,0.017743,0.000745935,,,,
M:MAIRX,Victory Trivalent International Fund-Core Eqty R6,0.889728,0.00074144,0.03995,0.005097,0.00074144,,,,
M:NILIX,Neuberger Berman International Select Fund Inst,0.88416773,0.000736806,0.063126,0.028273,0.000736806,,,,
M:NBIIX,Neuberger Berman International Equity Fund Inst,0.8575985,0.000714665,0.058307,0.023454,0.000714665,,,,
M:RIEIX,RBC International Equity Fund I,0.8348615,0.000695718,0.049426,0.014573,0.000695718,,,,
M:F00000ZU6V,Aquarius International,0.78262764,0.00065219,0.05032,0.015467,0.00065219,,,,
M:TIIEX,Nuveen International Equity Fund R6,0.75994843,0.00063329,0.055219,0.020366,0.00063329,,,,
